,6PG5,6PG6,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG24,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML13,ML14,ML15,ML17,6PG33,6PG34,6PG35
29,0.03397962,0.995292218,0.066268771,0.056854668,0.098803408,0.143052254,0.397860418,0.017519559,0.133587491,0.111403396,0.030889479,0.218183358,0.09130577,0.021472195,0.03594646,0.043312577,0.045414627,0.289114334,0.32889189,0.181133224,0.103351397,0.364565727
30,0.068331133,0.106557005,0.040554752,0.155591459,0.057097254,0.178359859,0.397842751,0.029638379,0.047608898,0.51695725,0.115002038,0.137965804,0.041545029,0.106545102,0.210882552,0.148997026,0.097059482,0.034750803,0.068816245,0.279283754,0.005847863,0.467390988
31,0.115121016,0.172289902,0.132575551,0.044024655,0.008649161,0.246514146,0.0075593,0.033011692,0.133596914,0.399244022,0.419587943,0.060972076,0.028793866,0.096907315,0.443511784,0.031574318,0.178284702,0.214559937,0.421821738,0.268331912,0.019206549,0.071342434
32,0.192404554,0.249195459,0.110437303,0.21836378,0.16342068,0.246273649,0.005496668,0.161108495,0.199246858,0.196730317,0.21106157,0.176988843,0.123039053,0.104974685,0.073801284,0.118157398,0.173475142,0.129305567,0.052581954,0.2497602,0.011184426,0.044917162
33,0.075914508,0.056418783,0.050198962,0.04687305,0.017064708,0.002970389,0.008791228,0.223372382,0.072211684,0.034862713,0.370279412,0.163083423,0.16065488,0.037499173,0.124339267,0.040482275,0.206099004,0.027370616,0.055272353,0.169694763,0.217499904,0.206862991
34,0.139439218,0.110887261,0.044842089,0.188223659,0.049809759,0.021799167,0.083769671,0.151331233,0.237306868,0.326281533,0.054888604,0.335244607,0.033032103,0.26842029,0.191793875,0.029423518,0.059705439,0.002637025,0.603130822,0.023028754,0.167626063,0.417549758
35,0.080602835,0.081397984,0.037001116,0.026889502,0.018282948,0.042851884,0.073820136,0.08397929,0.007691123,0.112427896,0.177350533,0.035603011,0.12479245,0.110210286,0.0349433,0.286360105,0.072629805,0.032716443,0.117554479,0.326201599,0.002618582,0.715800334
36,0.225980693,0.114323665,0.477869617,0.02558884,0.252419459,0.202594744,0.20932857,0.101333958,0.209361253,0.563845035,0.08723852,0.193671282,0.033477216,0.157319234,0.007401593,0.023392013,0.412933774,0.05835098,0.054169882,0.066582965,0.052232458,0.464558828
37,0.241768799,0.110628316,0.052881093,0.152162844,0.026757053,0.13814962,0.056666556,0.369583642,0.042249802,0.800852424,0.158987633,0.28079796,0.128678758,0.112676727,0.05257745,0.03535424,0.369374531,0.004418038,0.546109079,0.589309076,0.318209795,0.077005912
38,0.037878851,0.235182941,0.04225537,0.038223509,0.076128487,0.035292037,0.007498687,0.018739611,0.267912756,0.357196192,0.028409017,0.151597527,0.120537959,0.003051899,0.006563484,0.146084144,0.187146524,0.509724981,0.275012723,0.390576436,0.300060959,0.042370533
39,0.031311676,0.101548816,0.57701483,0.162140805,0.010128347,0.176870043,0.259240429,0.435912581,0.004954524,0.490525753,0.015371635,0.25608683,0.056564242,0.03129261,0.020312393,0.033764397,0.202309156,0.087973341,0.134349757,0.13172156,0.039793786,0.326637303
40,0.150004758,0.061750211,0.836779158,1,0.010545064,0.00454578,0.041296294,0.043377657,0.134886084,0.04118691,0.121517934,0.064503634,0.094486793,0.052956233,0.003153682,0.125026188,0.036492762,0.05795876,0.246513933,0.155537306,0.161688026,0.498589117
41,0.060329895,0.232497724,0.430174702,0.027713757,0.030380946,0.18516588,0.001059336,0.019822685,0.114588714,0.255057785,0.036584394,0.006514171,0.109398657,0.275281141,0.130982661,0.025924222,0.150275433,0.041094961,0.058673673,0.027319257,0.080586387,0.077545834
42,0.00485851,0.055982308,0.035105935,0.030515988,0.013347522,0.032773813,0.062285284,0.032062276,0.027627894,0.03744019,0.622851817,0.022443502,0.000838644,0.288905104,0.114615142,0.024587033,0.183998027,0.086309004,0.181018362,1,0.065421114,0.207994097
